year,month,item,category,city,price
2023,3,salt powdered (national/shan) 80,SPI Items,Sargodha,56.46
2023,3,salt powdered (national/shan) 80,SPI Items,Multan,60.0
2023,3,salt powdered (national/shan) 80,SPI Items,Bahawalpur,50.0
2023,3,salt powdered (national/shan) 80,SPI Items,Karachi,48.6
2023,3,salt powdered (national/shan) 80,SPI Items,Hyderabad,50.0
2023,3,salt powdered (national/shan) 80,SPI Items,Sukkur,40.0
2023,3,salt powdered (national/shan) 80,SPI Items,Larkana,40.0
2023,3,salt powdered (national/shan) 80,SPI Items,Peshawar,50.0
2023,3,salt powdered (national/shan) 80,SPI Items,Bannu,50.0
2023,3,salt powdered (national/shan) 80,SPI Items,Quetta,50.0
2023,3,salt powdered (national/shan) 80,SPI Items,Khuzdar,50.0
2023,3,chilies powder national 200 gm pa,SPI Items,Islamabad,215.0
2023,3,chilies powder national 200 gm pa,SPI Items,Rawalpindi,215.0
2023,3,chilies powder national 200 gm pa,SPI Items,Gujranwala,215.0
2023,3,chilies powder national 200 gm pa,SPI Items,Sialkot,229.67
2023,3,chilies powder national 200 gm pa,SPI Items,Lahore,215.0
2023,3,chilies powder national 200 gm pa,SPI Items,Faisalabad,215.0
